variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
lso_grid,6,4,late,0.6730497689772909,0.0058042843503899495,250,250,0.0014715325528778073,0.0030412841257114066,0.0015697515728335992,2.066746073516151
lso_grid,6,4,mid,0.9254868550601405,0.054341666703791,204,204,0.008486095769262814,0.014774514373166858,0.006288418603904044,1.7410261178858129
lso_grid,6,6,early,1.7847312095113237,2.6769188574064176,71,71,0.10437357504426824,0.18659821462800388,0.08222463958373565,1.7877917331935933
lso_grid,6,6,late,0.4681210758198342,0.0031742697459659,283,283,0.0014621540431281918,0.0017002613698082767,0.00023810732668008488,1.162846950223294
lso_grid,6,6,mid,0.8837651147991485,0.05205004349560055,184,184,0.0068366056403787335,0.013802263716637118,0.006965658076258385,2.018876682767459
lso_grid,6,8,early,1.7408889355186716,2.167700279620888,68,68,0.09745970435189995,0.1516103150130001,0.05415061066110015,1.5556205102529075
lso_grid,6,8,late,0.5179978308446462,0.00292142447744895,325,325,0.001122286171166835,0.0014405694522137415,0.0003182832810469066,1.283602604419503
lso_grid,6,8,mid,0.8338825912509298,0.031311182262000054,236,236,0.005727625701270577,0.010262249800621737,0.004534624099351159,1.7917109699303901
lso_grid,8,4,early,2.0749675451514085,5.130769901598605,51,51,0.1735170608121435,0.2688180045193205,0.09530094370717698,1.5492309704943286
lso_grid,8,4,late,0.5707340872093816,0.006096178981598,240,240,0.0018698848068172459,0.0027136926841494565,0.0008438078773322106,1.4512619570231529
lso_grid,8,4,mid,0.9275254441114661,0.07453245343755195,177,177,0.009295483111203318,0.016050058746806053,0.006754575635602736,1.7266513805465182
lso_grid,8,6,early,2.0312480805758213,3.414553053200586,56,56,0.13887768313011511,0.23146156207054705,0.09258387894043194,1.666657715291014
lso_grid,8,6,late,0.5548069802048852,0.00449499981151695,273,273,0.001845297341080724,0.002436279474608351,0.0005909821335276268,1.3202639056432552
lso_grid,8,6,mid,0.9636691693308399,0.0539190621853725,208,208,0.007702140904239519,0.013512550659349616,0.005810409755110098,1.7543889195680453
lso_grid,8,8,early,1.8724757210675147,2.1903380794828284,64,64,0.10006996325006078,0.1685469165859559,0.06847695333589514,1.6842907812884957
lso_grid,8,8,late,0.49974134411503446,0.0052296799631782,298,298,0.0012873397943082992,0.0016971619371684322,0.000409822142860133,1.3183480730356314
lso_grid,8,8,mid,0.8555404956866745,0.0325695501194629,210,210,0.006044735923991046,0.011615522109630601,0.005570786185639555,1.921592978698966
lso_grid,10,4,early,2.360583509572783,7.034714616270334,53,53,0.23785948834255038,0.3475237768250022,0.1096642884824518,1.4610465163555726
lso_grid,10,4,late,0.6974800000355789,0.01059314123086185,229,229,0.0032482928400549746,0.004483726714884633,0.0012354338748296581,1.3803332814072113
lso_grid,10,4,mid,1.104461882823812,0.12070415565032361,187,187,0.014382381377416912,0.02572790601255148,0.011345524635134567,1.7888488239471392
lso_grid,10,6,early,2.273216147586118,3.7080089128773785,48,48,0.1746028324030261,0.2901045505724585,0.11550171816943239,1.6615111369031297
lso_grid,10,6,late,0.5411780269175619,0.0055304967395919495,273,273,0.0020739655978940143,0.002564973311251463,0.0004910077133574485,1.2367482439708917
lso_grid,10,6,mid,1.0761210922178117,0.06781514493785776,200,200,0.009883894276031518,0.020180348283354084,0.010296454007322566,2.041740605450577
lso_grid,10,8,early,2.1755936612403772,3.7672130226993,60,60,0.13362055827411495,0.2355821262734473,0.10196156799933234,1.7630679688537447
lso_grid,10,8,late,0.5900777400501847,0.00584463089905205,330,330,0.0013783041623982744,0.002189747559043758,0.0008114433966454836,1.5887259276889634
lso_grid,10,8,mid,0.9701054918630077,0.046620891839426554,198,198,0.008500072944335456,0.013394514125062087,0.004894441180726631,1.5758116680620184
