ansatz,variant,role,n_qubits,depth,outcome,target,spec,spec_kind,time_controlled,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,bootstrap_seed,excluded_fraction,top_status
hea,vanilla_ls_nm,near-primary,6,4,r,C,C_given_G,overcontrol check,False,30,30,True,0.013093759261700987,-0.10903193415289163,0.14182147171328086,3945241574,0.0,ok
hea,vanilla_ls_nm,near-primary,6,4,r,C,C_given_G_nu,main,True,30,8,False,0.08959369291089131,-0.20199186963984517,0.36561692922140315,2671835293,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,4,r,C,C_given_G,overcontrol check,True,30,10,False,0.2227605905166035,-0.0708865604190308,0.4697416889664999,1952390633,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,4,kappa,C,C_given_G_nu,main,False,30,27,True,0.06919427738005503,-0.12535925358303138,0.2600142554128089,2633324501,0.0,ok
hea,vanilla_ls_nm,near-primary,6,4,kappa,C,C_given_G,overcontrol check,False,30,30,True,-0.0287854650065871,-0.2114490550693548,0.16398249353576222,566094541,0.0,ok
hea,vanilla_ls_nm,near-primary,6,4,kappa,C,C_given_G_nu,main,True,30,8,False,0.0077821551268635065,-0.33146763631361814,0.3701105654234532,498568594,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,4,kappa,C,C_given_G,overcontrol check,True,30,10,False,-0.18798955406595727,-0.5060760918589107,0.22180370077333394,2384356841,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,6,r,C,C_given_G_nu,main,False,30,29,True,-0.005968612928519924,-0.15411196364288215,0.14524429695205537,643628939,0.0,ok
hea,vanilla_ls_nm,near-primary,6,6,r,C,C_given_G,overcontrol check,False,30,29,True,-0.014783094697022141,-0.16592196121813618,0.14187178256937347,4007159948,0.0,ok
hea,vanilla_ls_nm,near-primary,6,6,r,C,C_given_G_nu,main,True,30,10,False,-0.19319198744279437,-0.3907415097700659,-0.00900376126791057,146887465,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,6,r,C,C_given_G,overcontrol check,True,30,11,False,-0.13125282137233,-0.340021340144797,0.0944527381986956,66571046,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,6,kappa,C,C_given_G_nu,main,False,30,29,True,0.04920237988561954,-0.12991531247396212,0.22295916438648028,3426869406,0.0,ok
hea,vanilla_ls_nm,near-primary,6,6,kappa,C,C_given_G,overcontrol check,False,30,29,True,0.044359549790140285,-0.12116574924851496,0.2084287497635671,3346752321,0.0,ok
hea,vanilla_ls_nm,near-primary,6,6,kappa,C,C_given_G_nu,main,True,30,10,False,0.24596664123732395,0.055855483365688186,0.4424399612999515,1478236553,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,6,kappa,C,C_given_G,overcontrol check,True,30,11,False,0.16285694943528478,-0.0436649202499218,0.3646824978589058,1596499136,0.0,collinear
hea,vanilla_ls_nm,near-primary,6,8,r,C,C_given_G_nu,main,False,30,26,True,0.04525163548808511,-0.07490414633469707,0.1698502473696379,2719753774,0.0,ok
hea,vanilla_ls_nm,near-primary,6,8,r,C,C_given_G,overcontrol check,False,30,27,True,0.01646181428620284,-0.09667376878989949,0.1326290418034386,3132104234,0.0,ok
