ansatz,variant,n_qubits,depth,n_seeds_sqrtQ_audit,n_seeds_R_audit,s_R_median,s_A_median,s_RA_cov_median,s_cov_median,sum_check_median,s_G_within_R_median,s_nu_within_R_median,s_Gnu_cov_within_R_median,sum_check_R_median
hva,vanilla,4,8,30,30,0.5131202151855613,0.10138689133257364,0.394528543122609,0.394528543122609,1.0,1.0,0.0,0.0,1.0
hva,vanilla,6,4,30,30,0.43406757168033805,0.12001620657669534,0.44441512087919055,0.44441512087919055,1.0,1.0,0.0,0.0,1.0
hva,vanilla,6,6,30,30,0.4493205323353476,0.11530217856695438,0.4356355081096148,0.4356355081096148,1.0,1.0,0.0,0.0,1.0
hva,vanilla,6,8,30,30,0.4222281405957029,0.12858565663805266,0.4459530403977957,0.4459530403977957,1.0,1.0,0.0,0.0,1.0
hva,vanilla,8,4,30,30,0.46536576091789494,0.10908341349565777,0.42862103458671846,0.42862103458671846,1.0,1.0,0.0,0.0,1.0
hva,vanilla,8,6,30,30,0.4462902835100239,0.1134678238234084,0.4382947173705417,0.4382947173705417,1.0,1.0,0.0,0.0,1.0
hva,vanilla,8,8,30,30,0.3992984751701756,0.13989070798909042,0.45382419044538924,0.45382419044538924,1.0,1.0,0.0,0.0,1.0
hva,vanilla,10,4,30,30,0.4948306062130903,0.09789371662372029,0.4067764531854081,0.4067764531854081,1.0,1.0,0.0,0.0,1.0
hva,vanilla,10,6,30,30,0.4098995584340956,0.1334537998326228,0.45614832349600654,0.45614832349600654,1.0,1.0,0.0,0.0,1.0
hva,vanilla,10,8,30,30,0.42547391315503313,0.12374399463937352,0.4466758307439118,0.4466758307439118,1.0,1.0,0.0,0.0,1.0
hva,vanilla_ls_nm,4,4,30,30,0.42262585471149283,0.1311906445022356,0.45039731439950786,0.45039731439950786,1.0,1.0082851933312589,0.0034876287969267533,-0.012168580928708476,1.0
hva,vanilla_ls_nm,4,6,30,30,0.4031162749177467,0.1415956217423105,0.4559247064923877,0.4559247064923877,1.0,0.9932012026619373,0.0026595679800202375,0.004332889284067006,1.0
hva,vanilla_ls_nm,4,8,30,30,0.5330450469724419,0.08586206355362608,0.37711742270558246,0.37711742270558246,1.0,0.9910056130654272,0.0014420592102881266,0.007670268307045948,1.0
hva,vanilla_ls_nm,6,4,30,30,0.4235501472706635,0.127380144763337,0.445865709529468,0.445865709529468,1.0,1.024736985574805,0.003403583543437884,-0.027875563707582096,1.0
hva,vanilla_ls_nm,6,6,30,30,0.4514722368611741,0.12134105087948063,0.43225945263690263,0.43225945263690263,1.0,0.9756851387253227,0.0019919492932003154,0.02245936839844121,1.0
hva,vanilla_ls_nm,6,8,30,30,0.42678949136635075,0.1315243010730864,0.44494957457158957,0.44494957457158957,1.0,0.9601012754967296,0.0018959223154983965,0.03850669252128752,1.0
hva,vanilla_ls_nm,8,4,30,30,0.418661845123101,0.12682650088970363,0.4486643794078231,0.4486643794078231,1.0,1.0019802557658588,0.002419323969417528,-0.004326997789666451,1.0
hva,vanilla_ls_nm,8,6,30,30,0.4433684218000967,0.11648221192034351,0.43856633259126926,0.43856633259126926,1.0,0.984919349231527,0.0019470472060567805,0.012834603114452205,1.0
hva,vanilla_ls_nm,8,8,30,30,0.40816586215315814,0.1381904546900214,0.4484222509051829,0.4484222509051829,1.0,0.9666538948199185,0.0017169678707485724,0.03187341401448401,1.0
