ansatz,variant,n_qubits,depth,statistic,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,material_and_resolved,reason,sign,max_vif_median,kappa_median,top_status,bootstrap_seed
hea,lso_grid,10,8,rho_C,30,18,False,-0.019388603393937404,-0.2033575418705698,0.16488172873149187,False,cell_underdetermined,-1,7.914276536487703,5.671013655210416,ok,128301172
hea,lso_pcgrad,4,4,rho_nu,30,12,False,0.1394032081928049,0.056111803650573035,0.25644270216577547,False,cell_underdetermined,1,16.1486153255483,9.37642623679315,collinear,1221419622
hea,lso_pcgrad,4,4,rho_cos,30,12,False,0.04043770975218237,-0.051482734922524004,0.13005319997208126,False,cell_underdetermined,1,16.1486153255483,9.376426236793147,collinear,4176421258
hea,lso_pcgrad,4,4,rho_C,30,12,False,-0.02167153735846754,-0.07530155577098722,0.025003142406967355,False,cell_underdetermined,-1,16.1486153255483,9.376426236793153,collinear,782770792
hea,lso_pcgrad,4,6,rho_nu,30,7,False,0.0906886266283011,0.014812733463791188,0.21879418328258451,False,cell_underdetermined,1,16.3933829464911,9.028785932651573,collinear,282561387
hea,lso_pcgrad,4,6,rho_cos,30,7,False,0.08542082407882849,0.01641954210403633,0.19461070515593665,False,cell_underdetermined,1,16.3933829464911,9.028785932651573,collinear,1843808461
hea,lso_pcgrad,4,6,rho_C,30,7,False,-0.11136425668867743,-0.2278459749209342,-0.021456195508262346,False,cell_underdetermined,-1,16.3933829464911,9.02878593265157,collinear,2054567303
hea,lso_pcgrad,4,8,rho_nu,30,11,False,0.06108318653906539,-0.019657641719239376,0.19570965161620651,False,cell_underdetermined,1,29.873313625966333,12.555324119464506,collinear,998938582
hea,lso_pcgrad,4,8,rho_cos,30,11,False,0.10469509641799565,0.010113392553143316,0.23196698473586394,False,cell_underdetermined,1,29.873313625966333,12.555324119464505,collinear,3176062845
hea,lso_pcgrad,4,8,rho_C,30,11,False,0.04960084100840852,-0.0010286973242772301,0.1272101862072551,False,cell_underdetermined,1,29.873313625966333,12.555324119464515,collinear,1338412199
hea,lso_pcgrad,6,4,rho_nu,30,23,True,0.4305252488004719,0.3408138821279156,0.506040060176564,True,material_and_resolved,1,8.146736813529522,5.94278512815006,ok,3703898846
hea,lso_pcgrad,6,4,rho_cos,30,23,True,0.2863582506098494,0.19487046779419331,0.37629541248570475,True,material_and_resolved,1,8.146736813529525,5.942785128150058,ok,2822857271
hea,lso_pcgrad,6,4,rho_C,30,23,True,0.03710889078072563,-0.0950684893326546,0.1652578712708168,False,below_material_threshold,1,8.146736813529522,5.942785128150058,ok,2218906865
hea,lso_pcgrad,6,6,rho_nu,30,16,False,0.37660733429977405,0.2057381179068626,0.5448675326449196,False,cell_underdetermined,1,8.42120344925174,6.616327031399148,ok,2012842161
hea,lso_pcgrad,6,6,rho_cos,30,16,False,0.21295482971552837,0.07015395387260898,0.380992071423174,False,cell_underdetermined,1,8.42120344925174,6.616327031399154,ok,349002320
hea,lso_pcgrad,6,6,rho_C,30,16,False,-0.04894373468118973,-0.20603023095322595,0.09453955145044869,False,cell_underdetermined,-1,8.42120344925174,6.616327031399146,ok,552902024
hea,lso_pcgrad,6,8,rho_nu,30,4,False,0.19958330394016743,0.07925556134152058,0.3065345929224618,False,cell_underdetermined,1,16.645887130055183,9.368649050586672,collinear,2403735914
hea,lso_pcgrad,6,8,rho_cos,30,4,False,0.03769215097801653,-0.07705021054997017,0.17665215699463174,False,cell_underdetermined,1,16.645887130055183,9.368649050586674,collinear,2345997282
hea,lso_pcgrad,6,8,rho_C,30,4,False,-0.06273310331680962,-0.30091064026024883,0.09230329857043591,False,cell_underdetermined,-1,16.645887130055183,9.368649050586676,collinear,2572158258
hea,lso_pcgrad,8,4,rho_nu,30,21,True,0.5718756626431845,0.44966066242593533,0.68081021931298,True,material_and_resolved,1,7.308487344242377,5.792316862062862,ok,618246712
hea,lso_pcgrad,8,4,rho_cos,30,21,True,0.4130665562781765,0.2774579983909921,0.5386921118223705,True,material_and_resolved,1,7.308487344242375,5.792316862062858,ok,243740012
hea,lso_pcgrad,8,4,rho_C,30,21,True,0.22490074161317977,0.09470474223748392,0.35897261236461003,True,material_and_resolved,1,7.308487344242375,5.79231686206286,ok,1288716384
hea,lso_pcgrad,8,6,rho_nu,30,22,True,0.6700097422195819,0.564756634121604,0.7537840513024606,True,material_and_resolved,1,5.760480510080898,4.720804819475067,ok,3010294599
hea,lso_pcgrad,8,6,rho_cos,30,22,True,0.4988456500288333,0.3614176069245113,0.6207084891055278,True,material_and_resolved,1,5.760480510080898,4.720804819475066,ok,3249242764
