basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_nu_full_seeds_identifiable,rho_nu_full_seeds_estimable,rho_nu_full_fraction_expected,rho_nu_full_cell_estimable,rho_nu_full_vif_median,rho_nu_full_vif_p90,rho_nu_full_kappa_median,rho_cos_full_seeds_identifiable,rho_cos_full_seeds_estimable,rho_cos_full_fraction_expected,rho_cos_full_cell_estimable,rho_cos_full_vif_median,rho_cos_full_vif_p90,rho_cos_full_kappa_median,rho_C_full_seeds_identifiable,rho_C_full_seeds_estimable,rho_C_full_fraction_expected,rho_C_full_cell_estimable,rho_C_full_vif_median,rho_C_full_vif_p90,rho_C_full_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
full,hea,lso_grid,10,6,30,30,30,29,0.9666666666666667,True,4.5306840426512025,8.402047309677311,4.233778591808333,30,29,0.9666666666666667,True,4.530684042651201,8.402047309677311,4.233778591808332,30,29,0.9666666666666667,True,4.5306840426512025,8.402047309677311,4.233778591808331,rho_nu_full;rho_C_full,29,0.9666666666666667,0.9666666666666667,True,
full,hea,lso_grid,10,8,30,30,30,18,0.6,False,7.914276536487703,28.29367090599759,5.671013655210414,30,18,0.6,False,7.914276536487703,28.29367090599759,5.671013655210413,30,18,0.6,False,7.914276536487703,28.29367090599759,5.671013655210416,rho_nu_full;rho_C_full,18,0.6,0.6,False,
full,hea,lso_pcgrad,4,4,30,30,30,12,0.4,False,16.1486153255483,107.31810931149842,9.37642623679315,30,12,0.4,False,16.1486153255483,107.31810931149842,9.376426236793147,30,12,0.4,False,16.1486153255483,107.31810931149842,9.376426236793153,rho_nu_full;rho_C_full,12,0.4,0.4,False,
full,hea,lso_pcgrad,4,6,30,30,30,7,0.23333333333333334,False,16.3933829464911,144.90621879679273,9.028785932651573,30,7,0.23333333333333334,False,16.3933829464911,144.90621879679273,9.028785932651573,30,7,0.23333333333333334,False,16.3933829464911,144.90621879679273,9.02878593265157,rho_nu_full;rho_C_full,7,0.23333333333333334,0.23333333333333334,False,
full,hea,lso_pcgrad,4,8,30,30,30,11,0.36666666666666664,False,29.873313625966333,387.4262575920978,12.555324119464506,30,11,0.36666666666666664,False,29.873313625966333,387.4262575920978,12.555324119464505,30,11,0.36666666666666664,False,29.873313625966333,387.4262575920978,12.555324119464515,rho_nu_full;rho_C_full,11,0.36666666666666664,0.36666666666666664,False,
full,hea,lso_pcgrad,6,4,30,30,30,23,0.7666666666666667,True,8.146736813529522,14.087770947833706,5.94278512815006,30,23,0.7666666666666667,True,8.146736813529525,14.087770947833706,5.942785128150058,30,23,0.7666666666666667,True,8.146736813529522,14.087770947833706,5.942785128150058,rho_nu_full;rho_C_full,23,0.7666666666666667,0.7666666666666667,True,
full,hea,lso_pcgrad,6,6,30,30,30,16,0.5333333333333333,False,8.42120344925174,23.659399609214276,6.616327031399148,30,16,0.5333333333333333,False,8.42120344925174,23.659399609214276,6.616327031399154,30,16,0.5333333333333333,False,8.42120344925174,23.659399609214276,6.616327031399146,rho_nu_full;rho_C_full,16,0.5333333333333333,0.5333333333333333,False,
full,hea,lso_pcgrad,6,8,30,30,30,4,0.13333333333333333,False,16.645887130055183,50.13178746452261,9.368649050586672,30,4,0.13333333333333333,False,16.645887130055183,50.13178746452261,9.368649050586674,30,4,0.13333333333333333,False,16.645887130055183,50.13178746452261,9.368649050586676,rho_nu_full;rho_C_full,4,0.13333333333333333,0.13333333333333333,False,
full,hea,lso_pcgrad,8,4,30,30,30,21,0.7,True,7.308487344242377,17.036665405757542,5.792316862062862,30,21,0.7,True,7.308487344242375,17.036665405757542,5.792316862062858,30,21,0.7,True,7.308487344242375,17.036665405757542,5.79231686206286,rho_nu_full;rho_C_full,21,0.7,0.7,True,
full,hea,lso_pcgrad,8,6,30,30,30,22,0.7333333333333333,True,5.760480510080898,18.650781172311444,4.720804819475067,30,22,0.7333333333333333,True,5.760480510080898,18.650781172311444,4.720804819475066,30,22,0.7333333333333333,True,5.760480510080898,18.650781172311444,4.7208048194750685,rho_nu_full;rho_C_full,22,0.7333333333333333,0.7333333333333333,True,
full,hea,lso_pcgrad,8,8,30,30,30,24,0.8,True,5.970694206510524,12.453639042196594,5.1242414558231495,30,24,0.8,True,5.970694206510524,12.453639042196594,5.124241455823142,30,24,0.8,True,5.970694206510524,12.453639042196594,5.124241455823145,rho_nu_full;rho_C_full,24,0.8,0.8,True,
