basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hea,vanilla,8,4,30,30,30,30,1.0,True,1.788514144997277,6.012418803987624,2.221253977252558,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,8,6,30,30,29,25,0.8333333333333334,True,2.686372086016532,19.191320206189474,2.937619483248316,0,0,0.0,False,,,,rho_A_lite,25,0.8333333333333334,0.8333333333333334,True,rho_A_lite:A==G(target_control_duplicate) x1; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,8,8,30,30,27,13,0.43333333333333335,False,17.155376105999277,8679.937508996905,8.161279977565465,0,0,0.0,False,,,,rho_A_lite,13,0.43333333333333335,0.43333333333333335,False,rho_A_lite:A==G(target_control_duplicate) x3; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,10,4,30,30,30,28,0.9333333333333333,True,1.7489474979690023,5.781540966383924,2.1878622175623157,0,0,0.0,False,,,,rho_A_lite,28,0.9333333333333333,0.9333333333333333,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,10,6,30,30,30,29,0.9666666666666667,True,2.271382231822006,5.465633604736434,2.634661798286558,0,0,0.0,False,,,,rho_A_lite,29,0.9666666666666667,0.9666666666666667,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla,10,8,30,30,29,16,0.5333333333333333,False,6.29622240265203,1359.2941650610728,4.810579750041363,0,0,0.0,False,,,,rho_A_lite,16,0.5333333333333333,0.5333333333333333,False,rho_A_lite:A==G(target_control_duplicate) x1; rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,vanilla_ls_nm,4,4,30,30,28,19,0.6333333333333333,False,5.335448325018298,56.24548602954526,4.522605202793926,30,21,0.7,True,5.2234879902722415,51.777791396387684,4.436278570348593,rho_A_lite;rho_nu_lite,19,0.6333333333333333,0.6333333333333333,False,rho_A_lite:A==G(target_control_duplicate) x2; rho_nu_lite:A==G(control_duplicate) x2
lite,hea,vanilla_ls_nm,4,6,30,30,28,15,0.5,False,8.022389156578384,2275.9696938825887,5.9398988438734674,30,17,0.5666666666666667,False,5.964613595521192,2224.806790501005,4.91964625976158,rho_A_lite;rho_nu_lite,15,0.5,0.5,False,rho_A_lite:A==G(target_control_duplicate) x2; rho_nu_lite:A==G(control_duplicate) x2
lite,hea,vanilla_ls_nm,4,8,30,30,22,7,0.23333333333333334,False,64.536721104064,13020.01656839362,18.268660452704403,30,15,0.5,False,10.017264173335434,6076.065498117061,6.650007815509602,rho_A_lite;rho_nu_lite,7,0.23333333333333334,0.23333333333333334,False,rho_A_lite:A==G(target_control_duplicate) x8; rho_nu_lite:A==G(control_duplicate) x8
lite,hea,vanilla_ls_nm,6,4,30,30,30,26,0.8666666666666667,True,4.378305233132648,10.366412618161501,4.0244079594032645,30,26,0.8666666666666667,True,4.378305233132648,10.36641261816149,4.024407959403265,rho_A_lite;rho_nu_lite,26,0.8666666666666667,0.8666666666666667,True,
